,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.17325909932454428,0.008906226088507017,48.61864821116129,2.27618698916398,1,uniform,"{'n_neighbors': 1, 'weights': 'uniform'}",0.96855,0.9697,0.97065,0.9696333333333333,0.0008586164581594132,6
1,0.18697563807169595,0.014731998393941702,47.08962615331014,0.45940975660639594,1,distance,"{'n_neighbors': 1, 'weights': 'distance'}",0.96855,0.9697,0.97065,0.9696333333333333,0.0008586164581594132,6
2,0.17123953501383463,0.002390803945283965,49.629467805226646,0.5257871445195086,2,uniform,"{'n_neighbors': 2, 'weights': 'uniform'}",0.9625000000000001,0.96225,0.964,0.9629166666666666,0.0007728015412912555,16
3,0.17745796839396158,0.00437942514037333,48.4942741394043,0.147645385062134,2,distance,"{'n_neighbors': 2, 'weights': 'distance'}",0.96855,0.9697,0.97065,0.9696333333333333,0.0008586164581594132,6
4,0.17515174547831217,0.00318752762264816,52.009572664896645,1.6384515263632766,3,uniform,"{'n_neighbors': 3, 'weights': 'uniform'}",0.96845,0.9693,0.97135,0.9697,0.0012172373091006853,5
5,0.17258644104003906,0.0026377828877841574,50.340838034947716,0.017520882861735837,3,distance,"{'n_neighbors': 3, 'weights': 'distance'}",0.97005,0.9709,0.9721,0.9710166666666668,0.0008409650541028552,2
6,0.17096885045369467,0.0012868261737775475,55.10960419972738,0.29584598356219666,4,uniform,"{'n_neighbors': 4, 'weights': 'uniform'}",0.9664,0.9679,0.96895,0.96775,0.0010464224768227924,12
7,0.1764827569325765,0.008995777619210813,54.75073663393656,0.530661690548152,4,distance,"{'n_neighbors': 4, 'weights': 'distance'}",0.9707,0.97075,0.9726499999999999,0.9713666666666666,0.0009076832536126257,1
8,0.17556063334147134,0.004349521363820251,55.30963404973348,0.19662018929892838,5,uniform,"{'n_neighbors': 5, 'weights': 'uniform'}",0.9675,0.9689,0.9695,0.9686333333333333,0.0008379870059984317,10
9,0.17423168818155924,0.0029195649447737717,54.333772818247475,0.8011470277345092,5,distance,"{'n_neighbors': 5, 'weights': 'distance'}",0.9691,0.96995,0.9706,0.9698833333333333,0.0006141841924229654,4
10,0.16978788375854492,0.0017313659872557144,54.608053843180336,0.8938226769441197,6,uniform,"{'n_neighbors': 6, 'weights': 'uniform'}",0.966,0.967,0.96795,0.9669833333333333,0.0007961713941664155,14
11,0.17054311434427896,0.0021872922427561303,58.677772521972656,4.649637589074876,6,distance,"{'n_neighbors': 6, 'weights': 'distance'}",0.9697,0.9698,0.97125,0.9702500000000001,0.0007082843120291668,3
12,0.19711812337239584,0.03578430670411314,57.58591000239054,1.6879216530522192,7,uniform,"{'n_neighbors': 7, 'weights': 'uniform'}",0.9666,0.96695,0.96825,0.9672666666666666,0.0007098513146349195,13
13,0.17157475153605142,0.002565274281544475,54.886679808298744,0.43675708359040627,7,distance,"{'n_neighbors': 7, 'weights': 'distance'}",0.96755,0.9675,0.9695,0.9681833333333333,0.0009312476696466017,11
14,0.17145562171936035,0.0021100055655065065,55.66467412312826,0.46125111734345225,8,uniform,"{'n_neighbors': 8, 'weights': 'uniform'}",0.96505,0.96565,0.96735,0.9660166666666666,0.0009741092797468612,15
15,0.17412590980529785,0.002314910801333448,54.44548416137695,0.13778870065837887,8,distance,"{'n_neighbors': 8, 'weights': 'distance'}",0.96785,0.968,0.9701,0.9686499999999999,0.0010271319292086982,9
